date,* gam Peg,* alf Col,* alf Cep,* zet Pup,* alf Peg,* del Cas
2026-12-01,21.920,23.584,3.714,2.277,6.193,
2026-12-02,20.075,22.866,2.540,1.919,4.376,
2026-12-03,18.228,22.138,1.364,1.560,2.558,
2026-12-04,16.381,21.399,0.184,1.198,0.740,
2026-12-05,14.534,20.651,0.998,0.835,1.078,
2026-12-06,12.687,19.891,2.183,0.469,2.896,
2026-12-07,10.839,19.122,3.369,0.101,4.714,
2026-12-08,8.992,18.342,4.558,0.269,6.531,
2026-12-09,7.145,17.551,5.748,0.641,8.348,
2026-12-10,5.299,16.751,6.940,1.015,10.164,
2026-12-11,3.453,15.940,8.134,1.392,11.980,
2026-12-12,1.608,15.120,9.328,1.771,13.794,18.471
2026-12-13,0.236,14.289,10.523,2.152,15.608,17.156
2026-12-14,2.079,13.448,11.719,2.536,17.420,15.834
2026-12-15,3.920,12.597,12.916,2.923,19.230,14.503
2026-12-16,5.760,11.737,14.112,3.311,21.039,13.164
2026-12-17,7.599,10.867,15.309,3.703,22.846,11.818
2026-12-18,9.436,9.988,16.505,4.096,24.651,10.464
2026-12-19,11.270,9.100,17.700,4.493,26.453,9.105
2026-12-20,13.103,8.202,18.895,4.892,28.253,7.739
2026-12-21,14.933,7.296,20.089,5.293,30.051,6.367
2026-12-22,16.761,6.380,21.281,5.697,31.845,4.990
2026-12-23,18.586,5.457,22.472,6.104,33.637,3.608
2026-12-24,20.409,4.524,23.662,6.514,35.426,2.222
2026-12-25,22.228,3.584,24.849,6.926,37.211,0.831
2026-12-26,24.045,2.636,26.034,7.341,38.993,0.563
2026-12-27,25.858,1.680,27.216,7.758,40.772,1.961
2026-12-28,27.669,0.717,28.396,8.178,42.546,3.362
2026-12-29,29.475,0.254,29.573,8.601,44.316,4.765
2026-12-30,31.277,1.231,30.746,9.026,46.082,6.171
2026-12-31,33.076,2.215,31.916,9.454,47.844,7.578
2027-01-01,34.870,3.205,33.082,9.884,49.600,8.986
2027-01-02,36.660,4.200,34.243,10.316,51.352,10.396
2027-01-03,,,,,,
